FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,ZONA,CLASE DE SITIO,CÓDIGO DANE,CLASE DE ARMA,PERMISO,CANTIDAD
,TOLIMA,IBAGUÉ (CT),Domingo,URBANA,VIAS PUBLICAS,"73,001,000",REVOLVER,SIN PERMISO,1
,VALLE,BUENAVENTURA,Domingo,URBANA,VIAS PUBLICAS,"76,109,000",PISTOLA,SIN PERMISO,1
,VALLE,CALI (CT),Domingo,URBANA,VIAS PUBLICAS,"76,001,000",ESCOPETA,SIN PERMISO,1
,VALLE,CALI (CT),Domingo,URBANA,VIAS PUBLICAS,"76,001,000",PISTOLA,SIN PERMISO,1
,VALLE,CALI (CT),Domingo,URBANA,VIAS PUBLICAS,"76,001,000",REVOLVER,SIN PERMISO,1
,VALLE,CALI (CT),Domingo,URBANA,VIAS PUBLICAS,"76,001,000",REVOLVER,SIN PERMISO,1
,VALLE,CALI (CT),Domingo,URBANA,VIAS PUBLICAS,"76,001,000",PISTOLA,SIN PERMISO,1
,VALLE,DAGUA,Domingo,RURAL,VIAS PUBLICAS,"76,233,000",REVOLVER,SIN PERMISO,1
,VALLE,RESTREPO,Domingo,URBANA,VIAS PUBLICAS,"76,606,000",REVOLVER,SIN PERMISO,1
,VALLE,YOTOCO,Domingo,URBANA,VIAS PUBLICAS,"76,890,000",REVOLVER,SIN PERMISO,1
,VALLE,YUMBO,Domingo,URBANA,VIAS PUBLICAS,"76,892,000",REVOLVER,SIN PERMISO,1
,VALLE,YUMBO,Domingo,URBANA,VIAS PUBLICAS,"76,892,000",REVOLVER,SIN PERMISO,1
,ANTIOQUIA,MACEO,Lunes,URBANA,CASAS DE HABITACION,"5,425,000",REVOLVER,SIN PERMISO,1
,ANTIOQUIA,MEDELLÍN (CT),Lunes,URBANA,VIAS PUBLICAS,"5,001,000",REVOLVER,SIN PERMISO,2
,ANTIOQUIA,MEDELLÍN (CT),Lunes,URBANA,AEROPUERTO,"5,001,000",ESCOPETA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Lunes,URBANA,VIAS PUBLICAS,"8,001,000",REVOLVER,CON PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Lunes,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Lunes,URBANA,VIAS PUBLICAS,"8,001,000",PISTOLA,SIN PERMISO,1
,ATLÁNTICO,BARRANQUILLA (CT),Lunes,URBANA,VIAS PUBLICAS,"8,001,000",ESCOPETA,SIN PERMISO,1
